PK,SK,DESCRIPTION
BLACKLIST_URL,https://darb.qmobilitscp.com/,OpenPhish
BLACKLIST_URL,https://m.imdowne.icu/,OpenPhish
BLACKLIST_URL,https://ios18-soport.help/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,http://t-mobile.imqyw.cc/pay/,OpenPhish
BLACKLIST_URL,https://darb.itc.gov.ae-area.com/,OpenPhish
BLACKLIST_URL,https://kuponundian2026.fectget.my.id/,OpenPhish
BLACKLIST_URL,https://niceformx-payylterindo.layanannetz.com/,OpenPhish
BLACKLIST_URL,https://geminibalance.proai520.com/,OpenPhish
BLACKLIST_URL,https://darb.qmobilitsao.com/,OpenPhish
BLACKLIST_URL,https://kuiocnlogien-help.godaddysites.com/,OpenPhish
BLACKLIST_URL,https://darb.qmobbilixolk.com/,OpenPhish
BLACKLIST_URL,http://www.kuiocnlogien-help.godaddysites.com/,OpenPhish
BLACKLIST_URL,https://darb.qmobilitsmx.com/,OpenPhish
BLACKLIST_URL,https://kuqoinloqtn.godaddysites.com/,OpenPhish
BLACKLIST_URL,https://bet414.cc/,OpenPhish
BLACKLIST_URL,https://gemini.199161.xyz/,OpenPhish
BLACKLIST_URL,http://www.kuqoinloqtn.godaddysites.com/,OpenPhish
BLACKLIST_URL,https://darb.qmobilitucp.com/,OpenPhish
BLACKLIST_URL,https://gemini.ayske.cn/,OpenPhish
BLACKLIST_URL,https://myfindnlocs-maps.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://dana-indonesia.grelysuite.my.id/,OpenPhish
BLACKLIST_URL,https://twcroadrunnerspectrumreport84488.framer.website/,OpenPhish
BLACKLIST_URL,http://www.autoscout24-anfrage719861.colegiointeragirfsa.com/,OpenPhish
BLACKLIST_URL,https://darb.qmobilitsui.com/,OpenPhish
BLACKLIST_URL,https://darb.qmobilitcmu.com/,OpenPhish
BLACKLIST_URL,https://darb.qmobilitok.com/,OpenPhish
BLACKLIST_URL,https://metaamoskk-laggeeniss.godaddysites.com/,OpenPhish
BLACKLIST_URL,https://darb.qmobilitmtv.com/,OpenPhish
BLACKLIST_URL,https://darb.qmobilitpcm.com/,OpenPhish
BLACKLIST_URL,https://gm.zerooneinf.com/,OpenPhish
BLACKLIST_URL,https://darb.qmobilitsrc.com/,OpenPhish
BLACKLIST_URL,https://darb.itc.gov.ae-docs.com/,OpenPhish
BLACKLIST_URL,https://www.gvgmall606.vip/,OpenPhish
BLACKLIST_URL,http://darb.qmobilitvu.com/,OpenPhish
BLACKLIST_URL,https://ytcs88.top/,OpenPhish
BLACKLIST_URL,https://mdann4-pn.neessx.biz.id/,OpenPhish
